sin_time,cos_time,request
0.0,1.0,27
1.592553130901779e-06,0.9999999999987319,13
6.061161189473374e-06,0.9999999999816311,2
6.63676745334428e-06,0.9999999999779766,23
6.839821329366732e-06,0.9999999999766084,16
9.958568859237742e-06,0.9999999999504134,28
1.002913918384144e-05,0.9999999999497082,3
1.6090326470117596e-05,0.9999999998705507,3
1.6770961961284904e-05,0.9999999998593674,10
1.800123665925271e-05,0.9999999998379777,23
1.9919058598301464e-05,0.9999999998016156,13
2.108617449756168e-05,0.9999999997776866,4
2.1595500401087953e-05,0.9999999997668172,8
2.3142296042125618e-05,0.9999999997322171,3
2.8355117655145774e-05,0.9999999995979937,12
3.080090950122183e-05,0.999999999525652,13
3.096197269952615e-05,0.9999999995206781,1
3.159505610245745e-05,0.9999999995008763,28
4.166355853887573e-05,0.9999999991320739,8
4.724858458313417e-05,0.9999999988837857,1
4.8475118706136886e-05,0.9999999988250814,8
5.236598334254491e-05,0.9999999986289019,9
5.2804885609938436e-05,0.999999998605822,25
5.292287960729196e-05,0.9999999985995844,15
5.3932580722417546e-05,0.9999999985456384,10
5.519177725430212e-05,0.9999999984769339,3
5.785808284787053e-05,0.9999999983262211,19
6.962010744544437e-05,0.9999999975765204,9
7.903351815624385e-05,0.9999999968768515,13
8.656689341543676e-05,0.9999999962530864,1
9.507006138392783e-05,0.9999999954808417,1
9.579501005555077e-05,0.999999995411658,7
9.710245498003571e-05,0.9999999952855566,21
9.81535598992015e-05,0.9999999951829394,4
9.96179100507807e-05,0.999999995038136,2
0.0001022128310084956,0.9999999947762686,1
0.00010758078539608059,0.9999999942131873,1
0.00012190048951852292,0.9999999925701353,3
0.00012675149298703364,0.9999999919670295,21
0.0001267695986262064,0.9999999919647344,17
0.00013078177716144182,0.9999999914480634,1
0.00013559366937639797,0.9999999908071784,2
0.00013703727042266062,0.9999999906103932,13
0.00014349834370137562,0.9999999897041126,1
0.00014479844175128466,0.9999999895167055,5
0.00014600259218714004,0.9999999893416215,17
0.00015022715310673317,0.9999999887159011,24
0.00015349583147510732,0.9999999882195147,2
0.00015554934863929525,0.9999999879022,19
0.00015955726804991799,0.999999987270739,19
0.00016219303453853003,0.9999999868467097,10
0.0001643667997774045,0.9999999864917775,1
0.00016614490413540618,0.9999999861979353,1
0.00016650833107398558,0.9999999861374878,5
0.00016972804548166237,0.9999999855961952,19
0.00017198325266735664,0.9999999852108803,4
0.00017952880571218938,0.9999999838847038,18
0.00018119249611872674,0.9999999835846396,1
0.0001820095464051743,0.9999999834362624,2
0.00018308478719997057,0.9999999832399802,21
0.0001914208622576085,0.9999999816790266,23
0.00019454887445812384,0.9999999810753676,3
0.00019960922508141234,0.9999999800780784,11
0.00020651135987151566,0.9999999786765289,1
0.00021157513265629722,0.9999999776179813,5
0.00021850097873110118,0.9999999761286609,3
0.0002188551467052701,0.999999976051212,21
0.00022054669176776746,0.9999999756795781,1
0.0002265224750351083,0.9999999743437838,7
0.00022867606317028146,0.9999999738536287,2
0.00022943098851658272,0.9999999736807104,27
0.00023066805221262014,0.9999999733961245,10
0.00023183891930259946,0.9999999731253574,21
0.00023547570840163685,0.999999972275595,28
0.00023682424863591183,0.9999999719571372,4
0.00024660215441034595,0.9999999695936883,5
0.0002486284324744626,0.9999999690919508,1
0.00024961398361454695,0.999999968846429,10
0.000252375637616089,0.9999999681532683,4
0.00025253032888222386,0.999999968114216,3
0.000259521078267217,0.9999999663244044,9
0.0002599753458014773,0.9999999662064092,5
0.00027228517824751434,0.9999999629303902,15
0.00027307686005384626,0.9999999627145135,3
0.0002771687332101626,0.9999999615887459,6
0.0002808669259493505,0.9999999605568842,14
0.00028369349301472763,0.9999999597590002,1
0.0002858534210110548,0.99999995914391,5
0.00029091553616792477,0.9999999576840745,1
0.00029149098120240924,0.9999999575165031,15
0.0002939805110168413,0.9999999567877287,6
0.00029402694429041303,0.999999956774077,3
0.00029601892862863026,0.999999956186396,2
0.00029888711617372744,0.9999999553332449,6
0.00030212466152955555,0.9999999543603434,2
0.0003097010727733829,0.9999999520426216,2
0.00031083369346677597,0.9999999516912064,24
0.0003178443712721709,0.9999999494874765,15
0.00031864482134277605,0.9999999492327376,11
0.0003231993447536322,0.9999999477710904,6
0.0003252070576231837,0.9999999471201835,1
0.0003259418080646556,0.9999999468809675,25
0.0003319725957972649,0.9999999448970963,5
0.00033460598794560724,0.9999999440194148,17
0.0003357295955769646,0.9999999436428177,24
0.000341667468585797,0.9999999416316687,14
0.00034558269926434314,0.9999999402862972,2
0.0003458086359321958,0.9999999402081918,13
0.0003516886816404211,0.9999999381575337,5
0.0003517121992073946,0.9999999381492626,15
0.0003519845279330489,0.9999999380534441,2
0.00035199743764729096,0.9999999380489,16
0.0003540217045108134,0.9999999373343144,3
0.00035669785700872755,0.9999999363833174,3
0.00035984177859301364,0.9999999352569451,18
0.00036083027944551667,0.9999999349007526,22
0.0003634596179429314,0.9999999339485509,1
0.00036613485722267604,0.9999999329726309,3
0.0003680780619838605,0.9999999322592679,6
0.00037058306920748784,0.999999931334092,1
0.00037127277501164895,0.9999999310782609,3
0.0003801697083193852,0.9999999277354938,2
0.0003855680051740757,0.9999999256686539,1
0.00038660300599765394,0.9999999252690551,1
0.00038866522045746094,0.9999999244696703,3
0.0003891840662564073,0.9999999242678784,1
0.0003912092635777786,0.9999999234776531,1
0.0003913152677896266,0.9999999234361777,5
0.0004037059275040702,0.9999999185107588,9
0.0004087014337007057,0.9999999164815656,1
0.0004157436448892711,0.9999999135786072,3
0.0004175713859899153,0.999999912817065,4
0.0004264639308376112,0.9999999090642537,5
0.00042723985685898025,0.9999999087330482,3
0.0004277104370896037,0.9999999085318868,3
0.0004284042351151059,0.9999999082349015,9
0.0004288158338821296,0.999999908058486,6
0.0004299275274532638,0.9999999075811563,8
0.0004325587816178791,0.9999999064464459,2
0.0004327192849167266,0.9999999063770059,6
0.0004348167952079244,0.9999999054671729,8
0.00043578877164177836,0.9999999050440688,2
0.00043642923727434845,0.9999999047647559,8
0.00043727865656085374,0.9999999043936837,6
0.0004398787919517315,0.9999999032533196,7
0.00044084381179691176,0.999999902828362,2
0.00044202068272453196,0.9999999023088533,7
0.00044637308381332094,0.9999999003755301,7
0.000447861428337179,0.9999998997100654,1
0.0004512736457476824,0.9999998981760432,3
0.0004514293839635602,0.9999998981057504,2
0.00045230212261753334,0.9999998977113898,7
0.0004525105704506792,0.9999998976170865,3
0.0004548640812027707,0.9999998965493284,6
0.00045618049539944243,0.9999998959496724,7
0.00045805277254382397,0.9999998950938233,4
0.0004581174170164977,0.9999998950642106,6
0.00045820006906216253,0.9999998950263429,5
0.0004598069840714663,0.9999998942887631,5
0.00046134290752731133,0.9999998935813552,5
0.00046199958740820605,0.999999893278185,6
0.0004632645292676308,0.9999998926929822,5
0.00046337407320801974,0.9999998926422283,3
0.00046493828783046234,0.9999998919161884,4
0.0004670252569599751,0.9999998909436988,2
0.00046731694015825096,0.9999998908074328,3
0.0004688034732443106,0.9999998901116457,3
0.00047203868552374095,0.9999998885897334,7
0.0004732098484479487,0.9999998880362134,3
0.0004737936390430691,0.9999998877597875,7
0.0004742049490955947,0.9999998875648268,5
0.0004753327438640596,0.9999998870293849,1
0.000475453377309122,0.9999998869720366,6
0.00047662816498657957,0.9999998864127897,8
0.0004791439552226756,0.9999998852105285,1
0.0004845868455391708,0.9999998825877877,6
0.0004906968276958472,0.9999998796083044,5
0.0004933025056515635,0.9999998783263115,7
0.0004951329051701366,0.9999998774216956,3
0.0004952271205987253,0.999999877375042,9
0.0004979593970624673,0.9999998760182117,5
0.0004987605552522254,0.9999998756189465,4
0.0004989495874124988,0.9999998755246469,9
0.0004993179270678604,0.999999875340796,5
0.0004993509751513922,0.999999875324294,1
0.0005005755314958022,0.9999998747120608,5
0.0005017652009020176,0.9999998741158337,6
0.0005027304250898553,0.9999998736310518,2
0.0005046404955282339,0.999999872668977,3
0.0005052108416674565,0.9999998723809946,6
0.0005065287201003282,0.9999998717143196,5
0.0005101757803724138,0.9999998698603281,8
0.0005123220434587663,0.9999998687630532,2
0.0005176630497958079,0.9999998660124745,4
0.0005177122695725313,0.999999865986994,2
0.0005192815796744912,0.9999998651733114,1
0.0005208362414324746,0.9999998643647956,4
0.0005219509657774867,0.9999998637835854,5
0.0005233818487038924,0.9999998630357109,1
0.0005251597461303063,0.999999862103611,2
0.0005310102244677229,0.9999998590140609,2
0.0005310808271589911,0.9999998589765675,1
0.0005331214735138124,0.9999998578907371,2
0.0005350065272346334,0.9999998568839976,2
0.0005355381585438673,0.9999998565994301,5
0.0005367427911026778,0.9999998559535778,8
0.0005374934805224075,0.9999998555503687,5
0.0005398179341974139,0.9999998542982883,4
0.0005457860784535736,0.9999998510587672,9
0.000546121337173238,0.9999998508757314,3
0.0005475628471653096,0.999999850087453,4
0.0005555225670493181,0.9999998456973268,2
0.0005564150811510202,0.9999998452011167,8
0.0005568966600221335,0.9999998449330431,5
0.0005602711529324767,0.9999998430481053,7
0.0005607232857583421,0.999999842794686,9
0.0005630259674951456,0.9999998415008674,1
0.0005634743710969163,0.999999841248304,7
0.0005647324156695305,0.9999998405386367,9
0.0005658587249829552,0.9999998399019389,3
0.0005664900793125973,0.9999998395444821,9
0.0005672957681536164,0.9999998390877428,9
0.0005703595023678507,0.9999998373450057,4
0.000570982366373755,0.9999998369895554,5
0.0005723599431602231,0.9999998362020344,9
0.0005725149520218066,0.9999998361133015,4
0.0005740009307264204,0.9999998352614522,4
0.0005757929194830397,0.9999998342312432,9
0.0005804640319791575,0.9999998315307396,5
0.0005806543915175049,0.9999998314202246,7
0.0005817319540764621,0.9999998307939525,5
0.0005904058817228925,0.9999998257104322,5
0.0005924673680628355,0.9999998244911935,2
0.0005936797645684652,0.999999823772153,9
0.0005989818214268023,0.9999998206103727,1
